wdidx, widx
276, 1666
276, 6082
276, 1193
276, 3803
276, 5460
276, 5614
277, 1699
277, 1529
277, 5506
277, 3861
277, 4334
277, 3784
277, 492
277, 492
278, 492
278, 1367
278, 1798
278, 159
278, 1559
278, 4297
279, 413
279, 553
279, 575
279, 1148
279, 6171
279, 3798
279, 575
280, 1540
280, 5866
280, 1718
280, 1780
280, 1540
281, 5145
281, 2040
281, 6261
281, 6616
281, 6616
282, 6268
282, 5693
282, 4030
282, 1940
283, 358
283, 5254
283, 4535
283, 6088
283, 6088
283, 3787
284, 3577
284, 2624
284, 6233
284, 2991
284, 5158
284, 4522
285, 3780
285, 716
285, 5716
285, 5707
285, 5457
285, 670
285, 492
285, 490
285, 3896
285, 3781
286, 5483
286, 4298
286, 4104
286, 5044
286, 5605
286, 1015
286, 5847
287, 6066
287, 5611
287, 3638
288, 371
288, 3677
289, 4154
289, 2350
289, 1414
289, 6171
289, 2064
289, 1382
289, 4212
290, 3991
290, 1575
290, 5300
290, 6422
290, 3991
290, 2259
290, 305
290, 3238
290, 6573
290, 4251
290, 492
291, 4535
291, 2090
291, 5732
291, 6730
291, 1982
292, 1382
292, 43
292, 913
292, 1650
292, 913
292, 913
292, 1298
292, 3958
292, 4260
293, 6594
293, 67
293, 2161
293, 5747
293, 524
293, 6594
293, 4140
293, 3934
293, 6594
293, 250
293, 527
294, 5589
294, 891
294, 2034
294, 5111
294, 5890
295, 3630
295, 5290
295, 5704
295, 6563
295, 3045
296, 4434
296, 6008
296, 6008
296, 5715
296, 5715
296, 6586
296, 5305
297, 4352
297, 4551
297, 2145
297, 5665
297, 3829
297, 3931
297, 1992
297, 2533
297, 612
297, 5484
298, 3851
298, 1690
298, 5743
298, 2201
299, 2991
299, 4403
299, 5855
299, 5855
299, 37
300, 5715
300, 1191
300, 5946
300, 6716
300, 3247
301, 3575
301, 1759
301, 1781
301, 1489
301, 4075
301, 5089
301, 1086
301, 5685
301, 1086
302, 1320
302, 2154
302, 6474
302, 3861
302, 4759
302, 3692
302, 1631
303, 2962
303, 1338
303, 1086
303, 4090
303, 6594
303, 6392
303, 3861
304, 6728
304, 3288
304, 3312
305, 603
305, 5250
305, 5250
305, 148
305, 4235
305, 5250
305, 5088
305, 3079
306, 756
306, 2101
306, 4393
306, 6565
306, 3556
306, 5536
306, 5536
306, 5536
306, 6438
307, 3121
307, 6024
307, 6086
307, 3403
307, 6721
307, 1384
307, 816
307, 2440
