Peak_X,Peak_Y,Peak_Z,Topic_Assignment,Subregion_Assignment
21,42,37,91,2
21,42,37,91,2
-43,36,37,59,2
-43,36,31,59,2
-43,36,31,59,2
18,36,31,35,2
18,42,31,35,2
18,42,31,49,2
18,42,31,35,2
-34,36,34,59,2
37,36,34,91,2
37,39,34,91,2
37,39,25,91,2
37,39,25,91,2
-31,39,25,59,2
-31,48,25,59,2
31,48,40,91,2
31,39,40,91,2
31,39,25,91,2
31,39,25,91,2
-37,42,31,59,2
40,42,31,91,2
40,48,31,91,2
-37,42,34,59,2
-37,42,31,59,2
-37,42,31,59,2
40,42,31,91,2
40,48,31,91,2
-34,54,28,59,2
34,54,28,91,2
34,48,28,91,2
34,48,37,91,2
34,48,37,91,2
34,48,28,91,2
34,48,37,91,2
34,48,37,91,2
-43,39,28,59,2
43,39,28,91,2
43,39,28,91,2
43,39,34,91,2
43,39,34,91,2
-46,36,34,59,2
-46,36,31,59,2
-46,36,31,59,2
43,36,31,91,2
43,45,31,91,2
46,-36,43,81,2
31,-42,43,81,2
21,-57,34,81,2
12,-63,46,72,2
21,-3,43,81,2
40,9,43,91,2
-37,-42,43,81,1
-59,-42,-3,43,1
-37,6,37,50,2
-18,3,65,91,1
31,15,-40,70,2
56,-33,-6,92,2
46,-39,18,35,1
21,-3,43,59,1
40,12,46,79,1
-31,18,-40,92,1
-34,-48,-21,13,1
-56,-48,-15,43,1
-40,6,37,50,2
-6,6,53,88,1
38,14,-8,47,1
42,17,22,39,2
-50,18,12,89,2
32,36,20,39,2
22,40,-4,51,2
-40,8,28,89,2
27,25,32,26,1
-39,49,18,59,2
-59,17,12,89,2
26,33,-8,51,2
40,22,8,47,1
42,26,20,47,1
-42,18,4,64,2
-44,20,8,89,2
35,19,2,26,1
31,40,40,39,2
-37,40,22,59,2
37,40,29,39,2
48,4,12,47,1
-46,2,16,89,2
35,32,21,47,1
-38,10,40,59,2
-35,30,22,89,2
38,39,26,39,2
-40,32,30,89,2
-35,42,22,59,2
27,29,36,39,1
40,34,29,39,2
-35,24,31,89,2
-32,44,18,59,2
32,34,32,39,2
36,20,-5,51,2
50,24,-9,47,1
-26,18,-5,26,2
35,30,29,47,1
39,25,36,39,2
39,37,20,39,2
35,18,-3,51,2
-29,20,-1,26,2
31,37,23,39,2
28,49,9,47,1
-28,20,-3,26,2
-52,2,8,89,2
40,24,28,39,1
32,28,26,39,2
-42,46,16,89,2
-28,52,4,89,2
-44,44,18,89,2
-51,10,9,89,2
-48,17,22,89,2
-46,26,25,89,2
-48,19,7,26,2
-42,10,29,50,2
-39,3,29,29,2
